Date,Close
2023-01-31,317.26
2023-01-30,322.67
2023-01-27,327.98
2023-01-26,325.57
2023-01-25,320.76
2023-01-20,315.58
2023-01-19,313.81
2023-01-18,311.91
2023-01-17,313.75
2023-01-16,316.04
2023-01-13,313.77
2023-01-12,310.7
2023-01-11,310.38
2023-01-10,309.57
2023-01-09,309.69
2023-01-06,301.53
2023-01-05,297.87
2023-01-04,295.98
2023-01-03,289.58
2023-01-02,289.79
2022-12-29,291.1
2022-12-28,297.09
2022-12-27,304.22
2022-12-26,302.27
2022-12-23,302.07
2022-12-22,307.48
2022-12-21,303.23
2022-12-20,304.05
2022-12-19,306.77
2022-12-16,307.48
2022-12-15,307.73
2022-12-14,313.23
2022-12-13,309.56
2022-12-12,309.64
2022-12-09,311.63
2022-12-08,308.24
2022-12-07,308.27
2022-12-06,310.14
2022-12-05,313.91
2022-12-02,315.02
2022-12-01,322.02
2022-11-30,321
2022-11-29,315.58
2022-11-28,312.21
2022-11-25,316.07
2022-11-24,317.3
2022-11-23,314.11
2022-11-22,312.02
2022-11-21,314.67
2022-11-18,317.12
2022-11-17,316.75
2022-11-16,321.96
2022-11-15,322.31
2022-11-14,321.53
2022-11-11,323.09
2022-11-10,311.13
2022-11-09,315.23
