연도,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
구분,상용 월평균 임금 (원),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%),상용 월평균 임금 (원),임금상승률 (%)
금액,2487339,2619833,5.3,2736921,4.5,2838343,3.7,2926186,3.1,3030286,3.6,3125273,3.1,3259281,4.3,3405769,4.5,3447287,1.2,3581564,3.9,3717328,3.8
