발표일,실제,예측,이전
2013년 01월 17일,-1.20%,,-0.90%
2012년 12월 10일,-0.20%,,0.20%
2012년 11월 09일,0.20%,,1.00%
2012년 10월 11일,1.00%,,0.30%
2012년 09월 10일,0.30%,,-0.10%
2012년 08월 10일,-0.10%,,0.80%
2012년 07월 09일,0.80%,,1.90%
2012년 06월 11일,1.90%,,2.40%
2012년 05월 08일,2.40%,,2.80%
2012년 04월 01일 (3월),2.40%,,3.10%
2012년 03월 01일 (2월),3.10%,,3.20%
2012년 02월 01일 (1월),3.20%,,4.30%
2012년 01월 01일 (12월),4.30%,,5.10%
2011년 12월 01일 (11월),5.10%,,5.80%
2011년 11월 01일 (10월),5.80%,,6.30%
2011년 10월 01일 (9월),6.30%,,6.90%
2011년 09월 01일 (8월),6.90%,,7.00%
2011년 08월 01일 (7월),7.00%,,7.20%
2011년 07월 01일 (6월),7.20%,,7.50%
2011년 06월 01일 (5월),7.50%,,8.10%
2011년 05월 01일 (4월),8.10%,,8.20%
2011년 04월 01일 (3월),8.20%,,7.40%
2011년 03월 01일 (2월),7.40%,,6.80%
2011년 02월 01일 (1월),6.80%,,5.70%
2011년 01월 01일 (12월),5.70%,,5.20%
