Date,Close
2011-01-03,273.81
2011-01-04,275.78
2011-01-05,275.35
2011-01-06,274.72
2011-01-07,275.61
2011-01-10,273.99
2011-01-11,275.1
2011-01-12,276.17
2011-01-13,275.52
2011-01-14,278.17
2011-01-17,277.05
2011-01-18,276.6
2011-01-19,279.25
2011-01-20,277.75
2011-01-21,272.67
2011-01-24,274.5
2011-01-25,275.18
2011-01-26,278.81
2011-01-27,279.2
2011-01-28,278.45
2011-01-31,273.12
2011-02-01,273.45
2011-02-07,274.9
2011-02-08,273.16
2011-02-09,269.9
2011-02-10,264.57
2011-02-11,260.4
2011-02-14,266.02
2011-02-15,265.4
2011-02-16,262.56
2011-02-17,261.23
2011-02-18,265.8
2011-02-21,264.55
2011-02-22,260.13
2011-02-23,259.21
2011-02-24,257.69
2011-02-25,259.28
2011-02-28,256.36
2011-03-02,254.96
2011-03-03,260.48
2011-03-04,265.42
2011-03-07,261.44
2011-03-08,263.33
2011-03-09,263.8
2011-03-10,260.59
2011-03-11,256.83
2011-03-14,260.69
2011-03-15,254.29
2011-03-16,259.44
2011-03-17,259.8
2011-03-18,262.39
2011-03-21,264.89
2011-03-22,266.05
2011-03-23,265.67
2011-03-24,268.93
2011-03-25,271.66
2011-03-28,272.13
2011-03-29,274.22
2011-03-30,277.04
2011-03-31,278.87
2011-04-01,280.73
2011-04-04,280.01
2011-04-05,282.03
2011-04-06,281.35
2011-04-07,280.45
2011-04-08,281.05
2011-04-11,280.49
2011-04-12,276.13
2011-04-13,280.68
2011-04-14,283.15
2011-04-15,282.8
2011-04-18,282.14
2011-04-19,280.43
2011-04-20,287.19
2011-04-21,291.16
2011-04-22,290.84
2011-04-25,292.69
2011-04-26,291.38
2011-04-27,292.08
2011-04-28,292.15
2011-04-29,290.39
2011-05-02,295.35
2011-05-03,291.65
2011-05-04,288.46
2011-05-06,283.68
2011-05-09,282.59
2011-05-11,286.3
2011-05-12,280.02
2011-05-13,279.59
2011-05-16,277.22
2011-05-17,277.15
2011-05-18,281.76
2011-05-19,276.47
2011-05-20,278.59
2011-05-23,271.19
2011-05-24,271.78
2011-05-25,268.62
2011-05-26,276.33
2011-05-27,277.35
2011-05-30,276.32
2011-05-31,282.76
2011-06-01,282.75
2011-06-02,278.76
2011-06-03,278.84
2011-06-07,276.97
2011-06-08,274.46
2011-06-09,272.44
2011-06-10,269.04
2011-06-13,269.79
2011-06-14,273.67
2011-06-15,274.53
2011-06-16,268.88
2011-06-17,266.22
2011-06-20,264.39
2011-06-21,268.65
2011-06-22,270.71
2011-06-23,269.34
2011-06-24,274.31
2011-06-27,271.44
2011-06-28,270.41
2011-06-29,274.61
2011-06-30,275.17
2011-07-01,278.77
2011-07-04,281.67
2011-07-05,283.88
2011-07-06,285.12
2011-07-07,286.07
2011-07-08,286.05
2011-07-11,282.46
2011-07-12,275.9
2011-07-13,278.32
2011-07-14,278.03
2011-07-15,279.59
2011-07-18,276.71
2011-07-19,276.58
2011-07-20,280.41
2011-07-21,279.2
2011-07-22,282.59
2011-07-25,279.66
2011-07-26,282.04
2011-07-27,282.7
2011-07-28,280.04
2011-07-29,277.11
2011-08-01,282.36
2011-08-02,275.4
2011-08-03,267.8
2011-08-04,261.54
2011-08-05,251.9
2011-08-08,242.45
2011-08-09,233.52
2011-08-10,233.23
2011-08-11,234.14
2011-08-12,230.38
2011-08-16,242.23
2011-08-17,243.43
2011-08-18,238.31
2011-08-19,222.98
2011-08-22,219.15
2011-08-23,228.12
2011-08-24,225.14
2011-08-25,227.02
2011-08-26,229
2011-08-29,235.78
2011-08-30,237.64
2011-08-31,242.16
2011-09-01,242.37
2011-09-02,240.16
2011-09-05,228.89
2011-09-06,226.65
2011-09-07,236.12
2011-09-08,238.47
2011-09-09,233.4
2011-09-14,225.15
2011-09-15,228.58
2011-09-16,237.5
2011-09-19,235.32
2011-09-20,237.53
2011-09-21,239.51
2011-09-22,232.05
2011-09-23,218.62
2011-09-26,214.18
2011-09-27,225.29
2011-09-28,223.82
2011-09-29,230.37
2011-09-30,230.41
